"","X","PROLIFIC_PID","key","resp","type","issue","gender","age","religion","education","politics_1","politics_2","read","StartDate","RL"
"1",561,"5e31e1632878161c9923f90e","ab_f_1",0,"Factual","Abortion",1,73,1,6,5,6,5,"2021-01-11 20:39:08","R"
"2",562,"5d5334fa962bb7001bc3fa2f","ab_f_1",82,"Factual","Abortion",2,53,1,3,5,6,6,"2021-01-11 20:50:13","R"
"3",563,"5fdba59c8fed49025cfe5113","ab_f_1",24,"Factual","Abortion",1,19,4,2,5,6,5,"2021-01-11 20:57:41","R"
"4",564,"5d9cf0cb65aa2e0013126310","ab_f_1",78,"Factual","Abortion",1,25,2,5,7,7,6,"2021-01-11 20:59:09","R"
"5",565,"5ea3f7021782d23892358af1","ab_f_1",60,"Factual","Abortion",2,NA,4,5,5,5,6,"2021-01-11 20:59:07","R"
"6",566,"5e514ee960dd0917e68a1ba5","ab_f_1",73,"Factual","Abortion",2,24,1,4,3,5,6,"2021-01-11 21:01:28","R"
"7",567,"5c7bb4095dcdda001427a670","ab_f_1",31,"Factual","Abortion",2,24,1,4,5,6,6,"2021-01-11 21:01:49","R"
"8",568,"5b15b57e1e55760001ba257d","ab_f_1",85,"Factual","Abortion",2,47,5,4,6,6,6,"2021-01-11 21:05:00","R"
"9",569,"5f72adea4576d21f8ac889a0","ab_f_1",27,"Factual","Abortion",1,30,1,3,6,6,6,"2021-01-11 21:06:43","R"
"10",570,"5ea0b7e421f4e40ab8873150","ab_f_1",100,"Factual","Abortion",2,63,4,3,6,6,6,"2021-01-11 21:05:53","R"
"11",571,"5f00a0b70329ec1ad206aa9b","ab_f_1",72,"Factual","Abortion",2,62,1,3,6,6,6,"2021-01-11 21:06:10","R"
"12",572,"5c92017dc719fc00017df090","ab_f_1",66,"Factual","Abortion",1,32,4,3,4,5,6,"2021-01-11 21:07:42","R"
"13",573,"5e8e588bdf10df1148b4f9f3","ab_f_1",75,"Factual","Abortion",2,33,5,4,5,5,5,"2021-01-11 21:06:49","R"
"14",574,"5c966ef941172c00165d6fc5","ab_f_1",68,"Factual","Abortion",1,49,1,3,5,5,6,"2021-01-11 21:10:22","R"
"15",575,"5ced2b44c0267f0001445982","ab_f_1",34,"Factual","Abortion",2,52,1,2,5,5,6,"2021-01-11 21:08:41","R"
"16",576,"5d8a62e934146e001a8ea16d","ab_f_1",52,"Factual","Abortion",1,44,1,2,4,6,5,"2021-01-11 21:09:36","R"
"17",577,"5f7c7530b5861b0913688a6c","ab_f_1",NA,"Factual","Abortion",2,37,4,4,5,4,5,"2021-01-11 21:11:48","R"
"18",578,"5fa8030f008edf5d07a3ab8b","ab_f_1",42,"Factual","Abortion",1,38,1,2,6,6,6,"2021-01-11 21:10:41","R"
"19",579,"5a1bed74517dfb00013dcdc5","ab_f_1",69,"Factual","Abortion",2,57,5,3,7,7,6,"2021-01-11 21:12:29","R"
"20",580,"5f77816bdacc842d07347555","ab_f_1",36,"Factual","Abortion",1,19,4,2,6,6,5,"2021-01-11 21:13:04","R"
"21",581,"5e81b038c8977f000964e5b2","ab_f_1",67,"Factual","Abortion",1,35,2,4,4,6,6,"2021-01-11 21:14:28","R"
"22",582,"5f64d1b14820b604e51e1280","ab_f_1",68,"Factual","Abortion",1,26,1,4,5,5,5,"2021-01-11 21:14:30","R"
"23",583,"5e989d242e0de609ac479125","ab_f_1",18,"Factual","Abortion",1,22,1,3,4,6,6,"2021-01-11 21:17:28","R"
"24",584,"5f20784816cde136ea6d8539","ab_f_1",76,"Factual","Abortion",2,50,1,4,4,5,6,"2021-01-11 21:14:40","R"
"25",585,"5ee689ebaedc563ff21eb620","ab_f_1",58,"Factual","Abortion",2,41,4,5,5,5,5,"2021-01-11 21:17:24","R"
"26",586,"59652bff3d5051000114c19b","ab_f_1",21,"Factual","Abortion",1,21,1,4,4,6,6,"2021-01-11 21:18:32","R"
"27",587,"5db78d074729b9000be9d206","ab_f_1",31,"Factual","Abortion",1,26,5,4,4,5,5,"2021-01-11 21:18:51","R"
"28",588,"55d5b77ddb6a810006fa05d5","ab_f_1",72,"Factual","Abortion",2,57,1,2,6,6,6,"2021-01-11 21:16:51","R"
"29",589,"5a9c7b2c777df2000160116b","ab_f_1",77,"Factual","Abortion",1,47,4,4,4,5,5,"2021-01-11 21:18:30","R"
"30",590,"5c1bf5ae10677f0001d9a382","ab_f_1",67,"Factual","Abortion",2,31,4,5,6,5,6,"2021-01-11 21:12:33","R"
"31",591,"5f5d3a0514f72258dedea6dc","ab_f_1",0,"Factual","Abortion",1,19,1,3,4,6,6,"2021-01-11 21:21:00","R"
"32",592,"59d4d493c618a50001cf5c6a","ab_f_1",95,"Factual","Abortion",2,48,4,5,5,5,5,"2021-01-11 21:18:46","R"
"33",593,"5a8c553bb093f80001a812cf","ab_f_1",21,"Factual","Abortion",2,27,1,5,4,6,6,"2021-01-11 21:18:00","R"
"34",594,"5e39dfdc54fca708912dfab5","ab_f_1",66,"Factual","Abortion",1,57,1,3,4,6,6,"2021-01-11 21:21:51","R"
"35",595,"5edfeebaecf5a0318788d731","ab_f_1",12,"Factual","Abortion",1,38,4,2,5,5,6,"2021-01-11 21:19:55","R"
"36",596,"57473b847fd0ec000db6842a","ab_f_1",31,"Factual","Abortion",1,33,1,4,5,5,5,"2021-01-11 21:22:38","R"
"37",597,"5dc0257aff9c98465fc57ada","ab_f_1",100,"Factual","Abortion",2,55,4,5,5,5,6,"2021-01-11 21:22:05","R"
"38",598,"5c7a7dd7665aaa0001309bf0","ab_f_1",71,"Factual","Abortion",1,59,4,2,4,4,5,"2021-01-11 21:22:24","R"
"39",599,"5f6fa838ebf785131f2362ee","ab_f_1",0,"Factual","Abortion",1,27,4,4,6,4,6,"2021-01-11 21:24:24","R"
"40",600,"5ae888d8b7798500019254e1","ab_f_1",66,"Factual","Abortion",1,21,1,4,5,6,6,"2021-01-11 21:24:20","R"
"41",601,"5e94aaa6dd28ad0812ff44e3","ab_f_1",32,"Factual","Abortion",1,30,1,3,5,5,5,"2021-01-11 21:22:05","R"
"42",602,"5e8b765e88065404c4d50fe2","ab_f_1",68,"Factual","Abortion",1,38,1,3,4,6,5,"2021-01-11 21:21:38","R"
"43",603,"5f4a5983a08b215d74d2cd99","ab_f_1",100,"Factual","Abortion",1,26,5,4,5,5,6,"2021-01-11 21:23:41","R"
"44",604,"5c56025fcb61950001038a76","ab_f_1",82,"Factual","Abortion",2,49,1,5,5,6,6,"2021-01-11 21:24:36","R"
"45",605,"5f48cc495940140223c41866","ab_f_1",99,"Factual","Abortion",2,47,6,5,7,7,6,"2021-01-11 21:25:57","R"
"46",606,"5cd4851bcde03300016d240f","ab_f_1",66,"Factual","Abortion",1,41,6,4,5,5,6,"2021-01-11 21:25:19","R"
"47",607,"58d82c81d7073400012c7b8c","ab_f_1",35,"Factual","Abortion",2,38,1,4,6,6,6,"2021-01-11 21:23:23","R"
"48",608,"5f1636568f0a801a56474836","ab_f_1",33,"Factual","Abortion",1,19,4,4,1,6,6,"2021-01-11 21:26:00","R"
"49",609,"5c38dab0f0ae4c00011238c1","ab_f_1",30,"Factual","Abortion",2,67,2,3,5,6,5,"2021-01-11 21:27:31","R"
"50",610,"5f529c8d81da7d58cd46cc29","ab_f_1",97,"Factual","Abortion",2,59,4,3,7,7,6,"2021-01-11 21:27:59","R"
"51",611,"5e2eda312575cf49bea78a73","ab_f_1",31,"Factual","Abortion",1,33,1,4,6,5,6,"2021-01-11 21:25:18","R"
"52",612,"5d57157e96524f00163f9a8d","ab_f_1",65,"Factual","Abortion",1,57,1,3,5,5,5,"2021-01-11 21:27:58","R"
"53",613,"5ec8d9e8304ce13b64eb5b4f","ab_f_1",100,"Factual","Abortion",1,32,1,2,7,7,6,"2021-01-11 21:30:15","R"
"54",614,"5df16d597adf4b08a7e779f1","ab_f_1",54,"Factual","Abortion",2,38,4,5,6,5,5,"2021-01-11 21:29:22","R"
"55",615,"5ea08689069d5305f6380c77","ab_f_1",65,"Factual","Abortion",1,64,4,2,5,6,5,"2021-01-11 21:29:23","R"
"56",616,"5ee7600156288d02364244f9","ab_f_1",96,"Factual","Abortion",2,32,5,4,4,4,5,"2021-01-11 21:31:10","R"
"57",617,"56be1c3a202307000dcbb020","ab_f_1",30,"Factual","Abortion",2,48,2,4,5,5,6,"2021-01-11 21:30:32","R"
"58",618,"5ed77b3693b8161ed25a0610","ab_f_1",65,"Factual","Abortion",2,63,2,4,6,6,5,"2021-01-11 21:31:24","R"
"59",619,"5d52b9b351ffbf00019fc578","ab_f_1",93,"Factual","Abortion",2,47,2,2,6,5,6,"2021-01-11 21:32:08","R"
