StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q70,eu_f_1,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,eu_n_1,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,as_n_1,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,as_f_1,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,ab_f_1,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,ab_n_1,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q53_1,Q54_First Click,Q54_Last Click,Q54_Page Submit,Q54_Click Count,su_f_1,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,su_f2_1,Q58_First Click,Q58_Last Click,Q58_Page Submit,Q58_Click Count,su_n_1,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,va_f_1,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,va_n_1,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,or_f_1,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,or_f2_1,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,or_n_1,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,gm_f_1,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,gm_f2_1,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,gm_n_1,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,sa_f_1,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,sa_n_1,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,br_f_1,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,br_f2_1,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,br_n_1,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,br_n2_1,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,en_f_1,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,en_f2_1,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,en_n_1,Q45_First Click,Q45_Last Click,Q45_Page Submit,Q45_Click Count,pb_f_1,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,pb_n_1,Q66_First Click,Q66_Last Click,Q66_Page Submit,Q66_Click Count,Q48,age,religion,education,politics_1,politics_2,Q73,prolific,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By ticking the box below, and proceeding to the study task you certify that you have read this form and consented to participate in accordance with the above conditions.",Can death be the only way to alleviate a terminally ill patient’s suffering?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Is it ethical for doctors to help end the life of a terminally ill patient at their request?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Is it ethical for doctors to help end the life of a terminally ill teenager at their request?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At what age is a typical teenager mature enough to make decisions about their own life and health?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At what stage of human pregnancy is the fetus capable of experiencing pain?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Does the human fetus have a right to life?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do women have the right to terminate a pregnancy if they so choose?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      Compared to other children, are children born in these circumstances worse off in the long run?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.     Should surrogate motherhood be illegal or legal?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How frequent and severe are the side-effects caused by modern vaccines?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If a parent is concerned about vaccinating their children, should they have the right to refuse to vaccinate them?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Suppose it were legal for a living person to sell their organs (e.g., a kidney or a lung).     Would people who are economically disadvantaged be coerced into selling their organs, or could governments prevent this?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If it were legal for a living person to sell their organs, would more people receive vital organ transplants?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Should it be forbidden or allowed for a living person to sell their organs (e.g., a kidney or a lung)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are genetically modified crops fit or unfit for human consumption?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Compared to conventional crops, does eating genetically modified crops pose a lower or higher risk to human health?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Should governments ban all genetically modified crops developed for human consumption?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.     Should governments subsidize sexual assistance to meet the needs of disabled individuals?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do animals (e.g., mice, rabits, guinea pigs) used in biomedical research experience pain like humans do?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Is animal testing necessary to guarantee the safety of biomedical developments?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Is the use of animals (e.g., mice, rabits, guinea pigs) in biomedical research cruel and immoral?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Is animal testing (e.g., with mice, rabits, guinea pigs) in biomedical research morally acceptable or unacceptable?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Some pharmaceuticals (e.g., methylphenidate) can increase a person's intelligence, memory or attention span above average.     Are such pharmaceuticals likely to have negative side-effects for the user?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Some pharmaceuticals (e.g., methylphenidate) can increase a person's intelligence, memory or attention span above average.     Is a person taking such drugs gaining an unfair advantage over other people?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Some pharmaceuticals (e.g., methylphenidate) can increase a person's intelligence, memory or attention span above average.     Should it be legal or illegal to produce and sell these pharmaceuticals?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Transgender minors often choose to undergo certain medical procedures (e.g., to receive puberty blocking drugs).     When it comes to undergoing such procedures, should minors have the final say or should parents be allowed to veto?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your gender?,How old are you? (Please type in your age in years - just a number).,To what extent do you consider yourself a religious person?,What is the highest level of education you have completed?,How would you describe your political attitudes: - when it comes to social issues?,How would you describe your political attitudes: - when it comes to economic/fiscal issues?,Were you able to read each statement and make a quick decision before the time was up?,Please enter your Prolific ID:,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID70""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_FIRST_CLICK""}","{""ImportId"":""QID62_LAST_CLICK""}","{""ImportId"":""QID62_PAGE_SUBMIT""}","{""ImportId"":""QID62_CLICK_COUNT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_FIRST_CLICK""}","{""ImportId"":""QID7_LAST_CLICK""}","{""ImportId"":""QID7_PAGE_SUBMIT""}","{""ImportId"":""QID7_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_FIRST_CLICK""}","{""ImportId"":""QID58_LAST_CLICK""}","{""ImportId"":""QID58_PAGE_SUBMIT""}","{""ImportId"":""QID58_CLICK_COUNT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_FIRST_CLICK""}","{""ImportId"":""QID19_LAST_CLICK""}","{""ImportId"":""QID19_PAGE_SUBMIT""}","{""ImportId"":""QID19_CLICK_COUNT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_FIRST_CLICK""}","{""ImportId"":""QID23_LAST_CLICK""}","{""ImportId"":""QID23_PAGE_SUBMIT""}","{""ImportId"":""QID23_CLICK_COUNT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_FIRST_CLICK""}","{""ImportId"":""QID35_LAST_CLICK""}","{""ImportId"":""QID35_PAGE_SUBMIT""}","{""ImportId"":""QID35_CLICK_COUNT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2020-11-25 12:26:50,2020-11-25 12:42:24,1,,100,933,1,2020-11-25 12:42:25,R_3shkUNCw62F3dw7,,,,,50.4669952392578125,20.7133941650390625,preview,EN,,,0,0,501.966,0,,0,0,11.953,0,,,,,,,,,,,,0,0,11.931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 13:00:24,2020-11-25 13:01:17,1,,100,53,1,2020-11-25 13:01:18,R_1pVzvb0CBow7u4X,,,,,50.4669952392578125,20.7133941650390625,preview,EN,,,0,0,11.96,0,,0,0,11.425,0,,,,,,,,,,,19,0,0,10.03,0,,0,0,11.958,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 13:25:21,2020-11-25 13:26:05,1,,100,44,1,2020-11-25 13:26:06,R_AKv6gbJQyR9LUn7,,,,,40.417205810546875,-3.6840057373046875,preview,EN,,69,9.079,9.079,10.145,1,78,3.736,3.736,10.126,1,,,,,,,,,,,73,6.285,6.285,10.019,1,26,3.114,3.114,10.133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 13:33:07,2020-11-25 13:33:53,1,,100,45,1,2020-11-25 13:33:54,R_24uONZ3Cw0Vr4Kh,,,,,40.417205810546875,-3.6840057373046875,preview,EN,,47,6.334,6.334,10.026,1,54,6.555,6.555,10.131,1,,,,,,,,,,,69,6.715,8.541,10.17,3,35,8.811,8.811,10.044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 14:06:15,2020-11-25 14:06:59,1,,100,44,1,2020-11-25 14:07:00,R_r7G3i2QG1GZpbOx,,,,,50.4669952392578125,20.7133941650390625,preview,EN,,,0,0,10.118,0,,0,0,10.013,0,,,,,,,,,,,,8.873,8.873,10.124,1,,0,0,10.108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26 19:11:44,2020-11-26 19:15:34,0,139.47.5.97,100,229,1,2020-11-26 19:15:34,R_2rwQvXLLeKUXqFe,,,,,40.417205810546875,-3.6840057373046875,anonymous,EN,,56,7.58,7.58,10.129,1,74,7.997,7.997,10.024,1,,,,,,,,,,,68,4.476,4.476,10.021,1,22,6.351,6.351,10.018,1,,,,,,30,0,0,10.024,0,,,,,,75,6.19,6.19,10.129,1,27,8.484,8.484,10.012,1,4,3.157,3.157,10.03,1,63,7.197,7.197,10.024,1,77,5.32,5.32,10.011,1,57,5.939,5.939,10.017,1,84,5.002,5.002,10.14,1,,,,,,24,5.417,5.417,10.032,1,85,7.958,7.958,10.124,1,73,6.333,6.333,10.012,1,73,5.085,5.085,10.026,1,75,4.414,4.414,10.025,1,28,5.373,5.373,7.449,1,66,5.202,5.202,10.031,1,33,9.404,9.404,10.025,1,,,,,,70,0,0,10.016,0,,,,,,,,,,,,,,,,,,,
2020-12-10 11:38:57,2020-12-10 11:39:38,0,77.255.107.56,14,41,0,2020-12-17 11:40:10,R_2xGigkAwKiYE3Xt,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,5.726,7.122,10.023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 16:23:49,2021-01-11 16:28:14,1,,100,264,1,2021-01-11 16:28:15,R_AzDNi1TDNjoJG5r,,,,,40.417205810546875,-3.6840057373046875,preview,EN,,81,5.805,5.805,10.006,1,78,9.062,9.062,10.122,1,70,7.867,7.867,10.006,1,14,0.047,9.407,10.008,2,70,5.101,5.101,10.109,1,,,,,,84,7.244,7.244,10.023,1,,,,,,40,7.552,7.552,10.115,1,76,8.479,8.479,10.013,1,,,,,,,,,,,64,8.792,8.792,10.118,1,79,6.136,6.136,10.11,1,69,6.803,6.803,10.025,1,71,3.072,3.072,10.108,1,54,8.968,8.968,10.024,1,10,5.528,5.528,10.015,1,77,7.854,7.854,10.018,1,59,8.244,8.244,10.118,1,65,8.377,8.377,10.122,1,80,6.363,6.363,10.009,1,37,4.721,4.721,10.008,1,,,,,,33,6.636,6.636,10.124,1,,,,,,,,,,,43,0,0,10.109,0,25,7.201,7.201,10.017,1,1,35,1,6,2,1,,,
