"","PROLIFIC_PID","key","resp","type","order","issue","gender","age","religion","education","politics_1","politics_2","RL","resp2","reflection_resp_O1","reflection_topic","reflection_time","explain","reflection_resp_O2"
"1","5f98505ebcbfb20fa189b77b","ab_f_1","60","Factual","First-order","Abortion","1","27","2","4","3","3","Left",74,26,"GM Crops",46.311,"In my limited knowledge on this I don’t know of any negative affects of them. The world is struggling with over farming and other environmental issues could increase at some point making it harder to grow food so this may be a way to adapt how we do it to protect our ability to grow food which will then help sustain us in the future whereas without it it may have dwindled and we may struggle to produce certain crops.",78
"2","603a3643f37c855e0f13cbb9","ab_f_1","85","Factual","First-order","Abortion","2","24","1","3","1","1","Left",83,65,"Vaccines",60.601,"I’m unsure as I don’t have children myself so I feel it’s unfair for me to say that I’m completely sure of my answer. For the benefit of others I think it’s right to ensure parents vaccinate their children, however I also understand why parents would want to choose for their child. I suppose when the child becomes an adult they can make their own choice.",27
"3","5da390df0a6dea0015355c8b","ab_f_1","75","Factual","First-order","Abortion","2","30","1","4","1","1","Left",70,30,"Transgender Teen",48.154,"I think transgender issues are a complex topic and there are a lot of ethical issues involved when it comes to minors choosing to undergo life changing surgeries, however I do believe that if a minor has full capacity and ability to understand the consequences of the decision then they should have the final say in the matter, not their parents",71
"4","5dc597a98499c540c815ccd5","ab_f_1","28","Factual","First-order","Abortion","1","35","1","5","2","2","Left",34,35,"GM Crops",65.702,"i dont think it's feasible or right to ban all as those foods could help people in the future.",55
"5","5cf037cb8f775d001aa89bb7","ab_f_1","35","Factual","First-order","Abortion","3","19","1","3","1","1","Left",51,100,"Surrogacy",58.286,"Surrogate motherhood should be legal as it is a conception method that can be done safely and successfully with the consent of both parties.",96
"6","5fba4c62139bcc9bb911dc46","ab_f_1","27","Factual","First-order","Abortion","2","38","2","5","1","1","Left",28,24,"Transgender Teen",46.58,"The dilemma is how sure the minor is about their decision, but parents cannot have an author active decision as it is not them going through the process",35
"7","5fb2414a05eae9373dd9b666","ab_f_1","71","Factual","First-order","Abortion","2","63","2","3","3","5","Left",34,8,"Animals in Research",48.227,"I feel it is morally wrong to cause any animal to suffer for human gain",28
"8","5ecb7a2d7a32d26eca7526ba","ab_f_1","31","Factual","First-order","Abortion","1","51","1","3","1","1","Left",29,33,"Abortion",47.315,"It’s hard.  But I believe in abortion so I can’t really agree a foetus has a right to life.  At what point does it become human? And I think it’s better to end a pregnancy than being up an unloved abs unwanted child",72
"9","60301eb443d657e3194282fa","ab_f_1","34","Factual","First-order","Abortion","2","20","1","3","3","3","Left",13,100,"Surrogacy",48.181,"Some people are unable to conceive naturally and will decide another way to have a child. As long as the surrogate mother is happy and not in a vulnerable position, surrogacy should be legal. It is our right to make decisions about our body and lifestyle.",100
"10","5fde36d50a5e7f57ba491e20","ab_f_1","35","Factual","First-order","Abortion","2","38","1","2","1","1","Left",26,20,"GM Crops",46.389,"Most genetically modified crops are usually tested to see what effects they have on human before being introduced. I mostly trust these studies but am aware that genetically modifying crops can lead to problems, such as those encountered with wheat - it is thought that genetically modified versions can lead to intolerance as these are found to affect people adversely compared to non modified versions.",69
"11","5e63d756c2c9b515cff6beff","ab_f_1","76","Factual","First-order","Abortion","1","23","1","4","2","3","Left",36,33,"Sexual Assistance",82.523,"While it may seem harsh, sexual experiences aren't really a human right. While I can see it happening for mental health reasons, subsidising sexual assistance for disabled people bring us the question of who should be allowed this (like someone who isn't disabled).",67
"12","5ffdd6d02b3bca3c02450f95","ab_f_1","33","Factual","First-order","Abortion","1","32","1","3","1","1","Left",29,51,"Animals in Research",51.411,"Testing of medicines is a vital activity that needs to be carried out, and i don't believe that this can be done on humans due to the risks that are potentially involved. As the medicines would need to be tested on living things, this only leaves animals to test them on. However, i accept that there are also ethical reasons to oppose this, as animals are also living things who feel pain",51
"13","5e70fefda35482000b5919d4","ab_f_1","88","Factual","First-order","Abortion","2","19","1","3","1","2","Left",84,23,"GM Crops",71.27,"I think genetically modified food should be allowed as there's no evidence suggesting there's a negative impact on human health. they bring a lot of benefits to the general population, such as nicer tasting food, larger crops, and larger yields of food. this is good for farmers, who will have more, and bigger, crops to sell.",60
"14","5fb32a1f69fda0a53751a1b7","ab_f_1","79","Factual","First-order","Abortion","2","22","1","3","1","1","Left",67,50,"Abortion",49.647,"I think that the answer entirely depends on the situation of the mother of the child and whether it will have a good life",100
"15","5eff6987311419024b04a969","ab_f_1","72","Factual","First-order","Abortion","2","30","1","4","3","2","Left",72,64,"Abortion",48.678,"I think from the point of the fetus, there is a right to life, based on the potential/ intention of the fetus to develop into life. Why should on fetus survive and not another? They have an equal right to life. This is why I leaned more toward a right to life. However, from the point of view of the mother or otherwise, there is also a right to life. I am pro- choice, so I would say everything has a ‘right’ to life, but life may not always be the best or most moral decision. I selected ‘not confident in my thinking,’ because I  am sure there are arguments and viewpoints I haven’t fully considered",20
"16","5ec633682fdab6000b62bfba","ab_f_1","68","Factual","First-order","Abortion","1","30","2","4","3","3","Left",37,63,"Animals in Research",53.996,"I think in some contexts animal testing is ethical. If many lives will be helped by testing on animals then I see it as a positive. I can’t be fully confident in my answer without more context.",64
"17","5fb0198dce9407370ad85737","ab_f_1","31","Factual","First-order","Abortion","2","46","1","2","5","6","Right",31,67,"Animals in Research",51.454,"Testing firstly on animals is the lesser of two evils, the only other option would be to test straight to humans.",68
"18","5d57d1dc914e310019cdfb9b","ab_f_1","25","Factual","First-order","Abortion","2","77","4","1","4","4","Right",22,0,"Animals in Research",57.853,"I love all animals and I don;t thin any of them should be used for experimenting as they can't express how they feel about the experiments unlike humans",100
"19","5d8f98b397a2130019f3fdc7","ab_f_1","29","Factual","First-order","Abortion","2","32","2","3","1","1","Left",32,27,"Surrogacy",46.692,"it is an ethical issue, where i agree surrogacy can be a good thing for genuinely infertile mothers, it worries me the rich and famous can pay someone to carry a child so they dont have to do it themselves.",74
"20","5ce66d8fed9d610001f60772","ab_f_1","14","Factual","First-order","Abortion","2","33","1","3","6","6","Left",13,67,"GM Crops",46.296,"I believe that things shouldn't be modified for human consumption especially when it comes to ingredients and using pestisides. I believe most products should be as natural and organic as possible. Modification is an issue as it goes too far sometimes to help preserve things",11
"21","5bc79c71bc506300018efce1","ab_f_1","64","Factual","First-order","Abortion","2","34","1","3","2","3","Left",32,78,"Abortion",49.5,"A human fetus has a right to life - however this right it not more important than the life of the woman carrying the fetus. If the carrying that child to term is going to harm the mother either physically or mentally then the wellbeing of the mother comes first.",100
"22","5c1a1c6b0bdf8b0001c5928e","ab_f_1","34","Factual","First-order","Abortion","2","49","1","2","2","2","Left",41,51,"GM Crops",70.656,"i can see how this can help with famine, but i am not convinced that enough research and testing has been done in the long term effects on the enviroment.",56
"23","5e0e6fbf5777b55c2c0844ff","ab_f_1","28","Factual","First-order","Abortion","2","42","4","4","6","7","Right",26,100,"Transgender Teen",51.723,"This is a very important and serious issue.  My view is that as a minor you do not have the necessary life experience and understanding to be able to make such an important decision with such certainty.  It is imperative that minors should have to wait until they are fully grown adults with more knowledge and understanding of themselves, that sometimes you can experience feelings which although strong at the time prove to be temporary.  This is why minors should never be given the chance to make a decision which they may regret deeply as they reach maturity.",100
"24","5dbda7fca9e74e2df4f9ec17","ab_f_1","64","Factual","First-order","Abortion","2","39","2","4","2","3","Left",71,32,"GM Crops",54.782,"What is it about GMOs that is inherently bad?  I don't think they are, and most crops these days have been modified by human behaviour or intervention in some way.",64
"25","5ef0a07ecb94ad5f47238367","ab_f_1","71","Factual","First-order","Abortion","1","25","1","4","1","1","Left",86,23,"Transgender Teen",50.345,"Someone who is classed as a minor still has autonomy and a better understanding of themselves than someone else. Public awareness and acceptance of transgender identities are still developing, and the default from many parents is to assume that this may be a 'phase' etc. Undoubtedly opting for surgeries or hormone treatments are a big decision, a parent should be there to discuss and evaluate options but they should ultimately be supportive of the decision and support their child through their journey.",70
"26","5a8bc663eea3d300016e9d92","ab_f_1","31","Factual","First-order","Abortion","2","36","1","4","1","1","Left",31,33,"Sexual Assistance",78.757,"I find the idea of sexual assistants to be very odd.",19
"27","5f207b3aff4d2415185311e1","ab_f_1","67","Factual","First-order","Abortion","2","19","4","3","3","3","Left",37,41,"Animals in Research",47.195,"I dont think animal testing is necessary, however I can imagine there is some circumstances where it may be needed but it should be thoroughly checked for safety of the animal",62
"28","60153082a0361e5b3a7b0f82","ab_f_1","73","Factual","First-order","Abortion","2","21","1","4","1","1","Left",100,18,"Vaccines",55.685,"I think when it comes to the general population being affect by a virus it shouldn’t have a choice because it benefits everyone if everyone gets vaccinated but can effect  a lot of people negatively if even one person doesn’t",78
"29","5ce1abeba7b516001928bbd5","ab_f_1","26","Factual","First-order","Abortion","2","37","2","5","2","2","Left",35,69,"Animals in Research",47.248,"Providing the animals are not overtly suffering from being tested on a little testing is ok with me",67
"30","5ec52fd2306f2548d71214b2","ab_f_1","100","Factual","First-order","Abortion","1","34","1","2","2","2","Left",64,33,"Animals in Research",48.043,"i done really have an opinion on animal testing. i feel that we have progressed scientificly that we should need to use animals anymore",71
"31","60392b6386df9d3d66896b25","ab_f_1","74","Factual","First-order","Abortion","2","20","1","3","2","2","Left",70,29,"GM Crops",63.82,"I think some should be banned but not all of them as some can be good as they can produce more crops meaning there wouldnt be a shortage.",66
"32","5edd7c8316627fa883311a29","ab_f_1","50","Factual","First-order","Abortion","1","19","4","2","4","4","Left",58,92,"GM Crops",47.359,"more demand in the world and it is significantly more environmently friendly.",74
"33","5dd012a97b6a661093d36b8e","ab_f_1","31","Factual","First-order","Abortion","1","23","1","4","2","2","Left",52,33,"Sexual Assistance",49.801,"I think that it could be a good idea if people are comfortable in doing such a thing, but I don't think the government should subsidise it. I feel like it should be something that is sorted out privately between the parties",23
