StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,ab_f_1,ab_c_f_1,su_f_1,su_c_f_1,va_f_1,va_c_f_1,gm_f_1,gm_c_f_1,sa_f_1,sa_c_f_1,br_f_1,br_c_f_1,pb_f_1,pb_c_f_1,su_n_1,su_c_n_1,ab_n_1,ab_c_n_1,va_n_1,va_c_n_1,gm_n_1,gm_c_n_1,sa_n_1,sa_c_n_1,br_n_1,br_c_n_1,pb_n_1,pb_c_n_1,gender,age,religion,education,politics_1,politics_2,Q77,Q79,PROLIFIC_PID,STUDY_ID,default,cnd
Fecha de inicio,Fecha final,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Datos de referencia externos,Latitud de ubicación,Longitud de ubicación,Canal de la distribución,Idioma del usuario,"By ticking the box below, and proceeding to the study task you certify that you have read this form and consented to participate in accordance with the above conditions.",At what stage of human pregnancy is the fetus capable of experiencing pain?,Please indicate how confident you are in the answer you provided above.,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Please indicate how confident you are in the answer you provided above.,How frequent and severe are the side-effects caused by modern vaccines?,Please indicate how confident you are in the answer you provided above.,Are genetically modified crops fit or unfit for human consumption?,Please indicate how confident you are in the answer you provided above.,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Is animal testing necessary to guarantee the safety of biomedical developments?,Please indicate how confident you are in the answer you provided above.,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.     Should surrogate motherhood be illegal or legal?,Please indicate how confident you are in the answer you provided above.,Does the human fetus have a right to life?,Please indicate how confident you are in the answer you provided above.,"If a parent is concerned about vaccinating their children, should they have the right to refuse to vaccinate them?",Please indicate how confident you are in the answer you provided above.,Should governments ban all genetically modified crops developed for human consumption?,Please indicate how confident you are in the answer you provided above.,Individuals with physical disabilities can find it difficult to meet their sexual needs.     Should governments subsidize sexual assistance to meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,"Is animal testing (e.g., with mice, rabits, guinea pigs) in biomedical research morally acceptable or unacceptable?",Please indicate how confident you are in the answer you provided above.,"Transgender minors often choose to undergo certain medical procedures (e.g., to receive puberty blocking drugs).     When it comes to undergoing such procedures, should minors have the final say or should parents be allowed to veto?",Please indicate how confident you are in the answer you provided above.,What is your gender?,How old are you? (Please type in your age in years - just a number).,To what extent do you consider yourself a religious person?,What is the highest level of education you have completed?,How would you describe your political attitudes: - when it comes to social issues?,How would you describe your political attitudes: - when it comes to economic/fiscal issues?,Were you able to read each statement and make a quick decision before the time was up?,Please enter your Prolific ID:,PROLIFIC_PID,STUDY_ID,default,cnd
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""default""}","{""ImportId"":""cnd""}"
2021-04-07 19:18:26,2021-04-07 19:22:18,0,88.110.35.11,100,232,1,2021-04-07 19:22:19,R_1i2MOtKD0objIoj,,,,,51.2646942138671875,-3.00860595703125,anonymous,ES-ES,1,31,17,32,63,,,53,37,26,61,69,64,75,23,,,,,,,,,,,,,,,1,43,2,2,5,6,6,5da566e51bffb80016864f60,5da566e51bffb80016864f60,606447a465eee832c645552f,fact,fact
2021-04-07 19:23:18,2021-04-07 19:27:27,0,31.124.175.253,100,249,1,2021-04-07 19:27:27,R_22n8UOuFXnsk2vo,,,,,51.721893310546875,0.4810943603515625,anonymous,ES-ES,1,60,64,42,62,18,62,70,54,68,59,13,83,,41,,,,,,,,,,,,,,,1,27,2,4,3,3,5,5f98505ebcbfb20fa189b77b,5f98505ebcbfb20fa189b77b,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:26:24,2021-04-07 19:29:13,0,94.5.35.157,100,169,1,2021-04-07 19:29:13,R_2Bn5HPia2HbtLNk,,,,,50.9889984130859375,0.646697998046875,anonymous,ES-ES,1,85,22,33,69,32,68,32,66,59,0,0,100,100,100,,,,,,,,,,,,,,,2,24,1,3,1,1,6,603a3643f37c855e0f13cbb9,603a3643f37c855e0f13cbb9,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:31:13,2021-04-07 19:33:47,0,94.0.62.164,100,154,1,2021-04-07 19:33:48,R_T6K2QgUW5cjJRcJ,,,,,53.748199462890625,-1.3719940185546875,anonymous,ES-ES,1,75,13,12,79,26,92,68,41,50,7,21,67,70,71,,,,,,,,,,,,,,,2,30,1,4,1,1,6,5da390df0a6dea0015355c8b,5da390df0a6dea0015355c8b,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:33:01,2021-04-07 19:34:37,0,31.49.39.145,100,96,1,2021-04-07 19:34:38,R_6nTWDOhLgbMmL9n,,,,,51.850006103515625,0.3000030517578125,anonymous,ES-ES,1,100,68,81,100,66,85,90,81,80,72,100,100,100,100,,,,,,,,,,,,,,,1,25,1,4,2,2,6,5ea9504662dbb603e0e061a1,5ea9504662dbb603e0e061a1,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:32:03,2021-04-07 19:35:17,0,86.178.154.10,100,193,1,2021-04-07 19:35:17,R_2zVkeTrgHUtsJWK,,,,,52.036102294921875,-0.7006072998046875,anonymous,ES-ES,1,65,19,13,71,20,69,50,1,46,15,0,75,74,,,,,,,,,,,,,,,,2,22,1,4,3,2,6,60217099ea93c413614e64f4,60217099ea93c413614e64f4,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:32:42,2021-04-07 19:36:04,0,109.144.29.32,100,202,1,2021-04-07 19:36:05,R_2BwYmGmTeLWy1cr,,,,,51.5095977783203125,-0.097198486328125,anonymous,ES-ES,1,27,34,33,88,33,84,68,69,72,71,0,100,56,67,,,,,,,,,,,,,,,2,56,1,3,3,3,6,5f1c8696d29e1151b230c39b,5f1c8696d29e1151b230c39b,606dc73aa1f2b07b2ee95c0b,fact,fact
2021-04-07 19:29:54,2021-04-07 19:36:39,0,195.194.136.126,100,405,1,2021-04-07 19:36:40,R_DdbmXWCV4glfbRn,,,,,57.145294189453125,-2.0944976806640625,anonymous,ES-ES,1,28,42,34,33,36,71,81,82,70,53,31,55,56,36,,,,,,,,,,,,,,,1,35,1,5,2,2,6,5dc597a98499c540c815ccd5,5dc597a98499c540c815ccd5,606dc73aa1f2b07b2ee95c0b,fact,fact
