StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,va_f_1,va_c_f_1,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,gm_f_1,gm_c_f_1,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,ab_f_1,ab_c_f_1,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,pb_f_1,pb_c_f_1,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,sa_f_1,sa_c_f_1,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,br_f_1,br_c_f_1,Q66_First Click,Q66_Last Click,Q66_Page Submit,Q66_Click Count,su_f_1,su_c_f_1,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,su_n_1,su_c_n_1,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,ab_n_1,ab_c_n_1,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,va_n_1,va_c_n_1,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,gm_n_1,gm_c_n_1,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,sa_n_1,sa_c_n_1,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,br_n_1,br_c_n_1,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,pb_n_1,pb_c_n_1,gender,age,religion,education,politics_1,politics_2,Q79,PROLIFIC_PID,STUDY_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By ticking the box below, and proceeding to the study task you certify that you have read this form and consented to participate in accordance with the above conditions.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How frequent and severe are the side-effects caused by modern vaccines?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are genetically modified crops fit or unfit for human consumption?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At what stage of human pregnancy is the fetus capable of experiencing pain?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Is animal testing necessary to guarantee the safety of biomedical developments?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.     Should surrogate motherhood be illegal or legal?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Does the human fetus have a right to life?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If a parent is concerned about vaccinating their children, should they have the right to refuse to vaccinate them?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Should governments ban all genetically modified crops developed for human consumption?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.     Should governments subsidize sexual assistance to meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Is animal testing (e.g., with mice, rabits, guinea pigs) in biomedical research morally acceptable or unacceptable?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Transgender minors often choose to undergo certain medical procedures (e.g., to receive puberty blocking drugs).     When it comes to undergoing such procedures, should minors have the final say or should parents be allowed to veto?",Please indicate how confident you are in the answer you provided above.,What is your gender?,How old are you? (Please type in your age in years - just a number).,To what extent do you consider yourself a religious person?,What is the highest level of education you have completed?,How would you describe your political attitudes: - when it comes to social issues?,How would you describe your political attitudes: - when it comes to economic/fiscal issues?,Please enter your Prolific ID:,PROLIFIC_PID,STUDY_ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID62_FIRST_CLICK""}","{""ImportId"":""QID62_LAST_CLICK""}","{""ImportId"":""QID62_PAGE_SUBMIT""}","{""ImportId"":""QID62_CLICK_COUNT""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID7_FIRST_CLICK""}","{""ImportId"":""QID7_LAST_CLICK""}","{""ImportId"":""QID7_PAGE_SUBMIT""}","{""ImportId"":""QID7_CLICK_COUNT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID67_FIRST_CLICK""}","{""ImportId"":""QID67_LAST_CLICK""}","{""ImportId"":""QID67_PAGE_SUBMIT""}","{""ImportId"":""QID67_CLICK_COUNT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID71_FIRST_CLICK""}","{""ImportId"":""QID71_LAST_CLICK""}","{""ImportId"":""QID71_PAGE_SUBMIT""}","{""ImportId"":""QID71_CLICK_COUNT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID73_FIRST_CLICK""}","{""ImportId"":""QID73_LAST_CLICK""}","{""ImportId"":""QID73_PAGE_SUBMIT""}","{""ImportId"":""QID73_CLICK_COUNT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}"
2021-08-08 10:54:15,2021-08-08 10:59:24,1,,100,309,1,2021-08-08 10:59:26,R_2P0gkiyjij3oTJi,,,,,50.053802490234375,19.9521026611328125,preview,ES-ES,1,0,0,16.96,0,,,,,,,,,0,0,16.968,0,,,0,0,15.014,0,,,0,0,15.211,0,,,0,0,16.947,0,,,0,0,16.941,0,,,0,0,15.114,0,,,0,0,16.943,0,,,0,0,16.949,0,,,13.199,14.44,15.124,2,,43,0,0,16.952,0,,,,,,,,,0,0,16.225,0,,,1,34,2,1,2,3,,,
2021-08-08 13:57:53,2021-08-08 14:00:18,0,84.64.185.168,100,145,1,2021-08-08 14:00:19,R_sL4QdsCr5dq1ZIt,,,,,52.372802734375,-2.252197265625,anonymous,EN-GB,1,3.32,4.579,5.001,3,100,99,1.251,2.863,3.446,3,70,70,0.839,3.171,4.496,3,74,74,1.893,4.997,5.501,4,100,97,5.488,7.827,8.415,3,99,65,2.401,7.271,8.122,5,7,10,2.831,12.527,12.901,7,5,100,1.936,3.305,4.054,3,77,30,4.985,7.629,8.472,2,36,37,6.44,10.746,11.223,4,33,98,1.902,4.392,4.812,5,83,73,8.465,10.994,11.674,4,73,65,5.742,6.256,8.285,2,74,,2.279,8.579,9.109,5,55,74,1,38,1,3,7,7,610bd390f9b2adcdeefc0b31,610bd390f9b2adcdeefc0b31,610fa0817bba062b1fb158c5
2021-08-08 14:05:45,2021-08-08 14:09:13,0,86.25.75.94,100,207,1,2021-08-08 14:09:13,R_vPlcvKccJmPvOZH,,,,,52.61810302734375,-1.1804046630859375,anonymous,EN-GB,1,1.805,6.35,7.866,3,31,70,4.559,6.756,7.653,2,69,33,5.364,7.315,8.241,2,100,100,6.292,9.819,11.135,2,69,69,4.141,5.655,6.995,2,31,35,2.444,4.247,6.024,2,63,99,5.594,8.09,9.363,2,33,71,8.525,10.635,11.788,2,100,100,3.815,5.924,6.849,2,0,100,14.973,14.973,15.006,1,100,,0,0,15.109,0,,,2.741,9.801,10.371,4,0,70,4.536,6.734,7.807,2,34,100,7.358,9.567,10.51,2,0,73,2,19,1,2,5,5,610ab30529234c54788108fd,610ab30529234c54788108fd,610fa0817bba062b1fb158c5
2021-08-08 14:08:11,2021-08-08 14:11:22,0,86.178.153.183,100,191,1,2021-08-08 14:11:22,R_DP0tYfa4HuJaqLD,,,,,53.0883941650390625,-3.338897705078125,anonymous,EN-GB,1,0.831,12.495,13.128,5,5,100,6.53,7.315,8.144,2,50,51,7.39,11.239,12.284,2,100,100,8.598,13.702,14.046,12,72,75,6.002,10.003,10.474,3,77,99,0,0,0.137,0,,,9.375,11.878,12.636,2,68,7,6.006,8.206,8.664,3,91,100,6.397,8.434,9.225,3,0,87,5.807,9.277,9.781,5,80,100,10.063,14.992,15.008,5,14,89,8.593,10.941,12.048,3,31,100,8.119,9.535,10.309,2,89,100,8.597,10.541,11.446,3,52,51,1,20,4,2,7,7,5f5fa21516682902a84bde2a,5f5fa21516682902a84bde2a,610fa0817bba062b1fb158c5
2021-08-08 14:14:51,2021-08-08 14:17:06,0,84.69.85.62,100,135,1,2021-08-08 14:17:07,R_qUvMoQCqMKt4htT,,,,,52.44219970703125,-1.7241058349609375,anonymous,EN-GB,1,4.147,7.603,8.225,3,22,67,2.955,5.171,5.409,5,71,69,2.755,8.098,8.432,4,21,100,4.31,8.742,9.26,9,83,100,4.61,7.834,8.367,3,100,34,3.455,4.816,5.332,2,67,67,7.032,9.031,9.292,4,39,12,6.627,8.275,9.031,2,34,34,1.913,3.224,3.796,2,100,100,3.069,4.149,4.627,2,100,100,3.401,6.528,7.325,2,0,70,4.598,6.102,6.666,3,34,100,2.877,7.061,7.595,4,65,31,4.928,6.087,6.66,3,100,100,1,18,4,3,6,6,610554e8bd77d7e610f3e295,610554e8bd77d7e610f3e295,610fa0817bba062b1fb158c5
2021-08-08 14:24:11,2021-08-08 14:27:02,0,90.252.98.206,100,171,1,2021-08-08 14:27:02,R_2f8m9zc3uf2EeL8,,,,,51.5359954833984375,-0.092498779296875,anonymous,EN-GB,1,4.149,6.098,7.086,2,0,100,2.078,4.405,5.293,3,100,100,11.135,11.135,15.107,1,38,50,11.428,13.195,13.953,2,77,83,9.167,11.203,12.608,3,63,35,4.335,6.679,7.501,3,0,78,6.862,12.669,13.639,2,50,67,5.487,7.474,8.281,2,100,100,4.305,5.852,7.152,2,66,37,5.54,7.159,7.946,2,0,100,6.747,13.113,14.171,4,0,100,3.829,6.284,6.875,3,25,85,0.335,12.005,13.221,4,0,100,9.769,11.175,12.126,2,19,72,2,24,1,4,2,6,5bec54332da3310001f63310,5bec54332da3310001f63310,610fa0817bba062b1fb158c5
2021-08-08 14:23:55,2021-08-08 14:27:11,0,151.224.120.173,100,195,1,2021-08-08 14:27:12,R_4Icy88t4xFtW8Kd,,,,,52.2241973876953125,0.131500244140625,anonymous,EN-GB,1,8.954,10.928,12.051,2,7,80,4.495,7.351,8.919,2,50,,5.782,9.6,11.291,3,84,37,13.14,13.14,15.009,1,59,,6.988,9.323,10.587,2,59,33,4.499,6.764,7.784,2,0,100,6.726,6.726,15.119,1,59,51,9.026,11.02,12.509,2,100,82,5.027,7.943,12.742,2,1,77,6.658,8.492,10.142,2,38,65,6.939,11.198,12.275,2,44,63,7.47,9.765,10.759,2,35,70,5.381,7.798,8.839,2,0,100,5.538,9.526,10.641,2,72,34,2,20,1,4,1,2,6106efd4e3b53864e6b540e0,6106efd4e3b53864e6b540e0,610fa2dc06d18e9f8a5da6e9
2021-08-08 14:23:48,2021-08-08 14:27:45,0,174.248.250.249,100,237,1,2021-08-08 14:27:45,R_3I04fgaisDFHOhP,,,,,40.8018951416015625,-73.928497314453125,anonymous,EN-GB,1,5.66,8.546,9.356,3,0,93,3.46,10.244,11.847,7,80,72,9.174,12.026,12.657,4,83,75,7.841,10.536,12.737,3,73,82,6.933,9.768,10.354,4,0,99,5.033,6.518,8.249,3,63,61,7.886,11.653,13.569,4,19,81,9.009,13.94,15.11,3,100,100,6.611,11.409,14.546,4,100,100,8.601,11.923,15.087,4,27,70,0.46,10.45,10.999,5,21,69,9.615,13.897,15.01,6,0,100,12.053,14.447,15.011,5,73,,7.872,14.471,15.01,6,43,,2,26,1,4,6,6,6109c7b776f409c784d914c8,6109c7b776f409c784d914c8,610fa0817bba062b1fb158c5
