StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,ab_f_ref_1,su_f_ref_1,va_f_ref_1,gm_f_ref_1,sa_f_ref_1,br_f_ref_1,pb_f_ref_1,c_ref_1,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,explain,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,ab_f_1,ab_c_f_1,Q94_First Click,Q94_Last Click,Q94_Page Submit,Q94_Click Count,su_f_1,su_c_f_1,Q93_First Click,Q93_Last Click,Q93_Page Submit,Q93_Click Count,va_f_1,va_c_f_1,Q92_First Click,Q92_Last Click,Q92_Page Submit,Q92_Click Count,gm_f_1,gm_c_f_1,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,sa_f_1,sa_c_f_1,Q90_First Click,Q90_Last Click,Q90_Page Submit,Q90_Click Count,br_f_1,br_c_f_1,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,pb_f_1,pb_c_f_1,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,su_n_1,su_c_n_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,ab_n_1,ab_c_n_1,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,va_n_1,va_c_n_1,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,gm_n_1,gm_c_n_1,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,sa_n_1,sa_c_n_1,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,br_n_1,br_c_n_1,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,pb_n_1,pb_c_n_1,Q79,PROLIFIC_PID,STUDY_ID,default,issue
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By ticking the box below, and proceeding to the study task you certify that you have read this form and consented to participate in accordance with the above conditions.",At what stage of human pregnancy is the fetus capable of experiencing pain?,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,How frequent and severe are the side-effects caused by modern vaccines?,Are genetically modified crops fit or unfit for human consumption?,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Is animal testing necessary to guarantee the safety of biomedical developments?,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Now please explain your point of view with regard to the issue you considered on the previous page.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,At what stage of human pregnancy is the fetus capable of experiencing pain?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How frequent and severe are the side-effects caused by modern vaccines?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are genetically modified crops fit or unfit for human consumption?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Is animal testing necessary to guarantee the safety of biomedical developments?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.     Should surrogate motherhood be illegal or legal?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Does the human fetus have a right to life?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If a parent is concerned about vaccinating their children, should they have the right to refuse to vaccinate them?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Should governments ban all genetically modified crops developed for human consumption?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Individuals with physical disabilities can find it difficult to meet their sexual needs.     Should governments subsidize sexual assistance to meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Is animal testing (e.g., with mice, rabits, guinea pigs) in biomedical research morally acceptable or unacceptable?",Please indicate how confident you are in the answer you provided above.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Transgender minors often choose to undergo certain medical procedures (e.g., to receive puberty blocking drugs).     When it comes to undergoing such procedures, should minors have the final say or should parents be allowed to veto?",Please indicate how confident you are in the answer you provided above.,Please enter your Prolific ID:,PROLIFIC_PID,STUDY_ID,default,issue
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID82_FIRST_CLICK""}","{""ImportId"":""QID82_LAST_CLICK""}","{""ImportId"":""QID82_PAGE_SUBMIT""}","{""ImportId"":""QID82_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID94_FIRST_CLICK""}","{""ImportId"":""QID94_LAST_CLICK""}","{""ImportId"":""QID94_PAGE_SUBMIT""}","{""ImportId"":""QID94_CLICK_COUNT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID90_FIRST_CLICK""}","{""ImportId"":""QID90_LAST_CLICK""}","{""ImportId"":""QID90_PAGE_SUBMIT""}","{""ImportId"":""QID90_CLICK_COUNT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID88_FIRST_CLICK""}","{""ImportId"":""QID88_LAST_CLICK""}","{""ImportId"":""QID88_PAGE_SUBMIT""}","{""ImportId"":""QID88_CLICK_COUNT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID87_FIRST_CLICK""}","{""ImportId"":""QID87_LAST_CLICK""}","{""ImportId"":""QID87_PAGE_SUBMIT""}","{""ImportId"":""QID87_CLICK_COUNT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""default""}","{""ImportId"":""issue""}"
2021-08-15 13:48:06,2021-08-15 13:51:35,0,86.182.112.123,100,209,1,2021-08-15 13:51:36,R_2y4wgndpcZwEYNs,,,,,51.7344970703125,-3.4835052490234375,anonymous,EN-GB,1,62,,,,,,,62,2.194,24.157,52.653,10,It may feel pain but does not have the mental capacity to register it/ remember it,2.497,5.415,6.034,3,63,73,4.682,7.13,7.707,3,12,79,2.538,5.116,5.808,3,0,87,2.441,4.397,5.093,3,100,100,3.293,5.46,6.107,3,61,73,4.713,8.509,8.881,4,82,79,5.918,8.45,9.307,3,71,74,2.366,5.202,5.619,4,100,100,3.605,6.575,7.228,4,42,56,6.565,8.737,9.522,3,62,83,1.97,6.781,7.312,4,0,100,3.545,6.204,6.771,3,32,67,3.32,5.349,6.43,3,65,73,7.847,11.125,11.765,3,34,69,603e14a5a9a789dbce4ae50b,603e14a5a9a789dbce4ae50b,611666eb61bb33529fc1877d,fact,ab
2021-08-15 13:48:16,2021-08-15 13:51:54,0,80.235.142.206,100,217,1,2021-08-15 13:51:54,R_11dUpTcgsRNCgGE,,,,,51.8173065185546875,-2.0951995849609375,anonymous,EN-GB,1,,,,,93,,,87,10.502,36.041,47.174,4,"aid will always provide help as this is an issue less able bodied people face, and with job prospects, social issues, etc, more difficult, finding that intimate contact is more difficult ",6.519,7.311,8.027,2,68,39,5.458,7.4,8.197,3,58,53,4.827,6.719,7.121,4,47,62,3.06,3.906,4.508,4,72,81,5.56,7.834,8.163,4,90,93,2.34,3.542,4.002,5,64,82,5.615,8.859,10.113,12,91,95,5.992,9.016,9.684,9,73,83,3.417,5.387,5.79,7,65,69,5.781,6.945,7.539,4,76,82,2.563,4.105,4.469,4,54,54,4.068,6.876,7.323,6,84,89,5.519,6.853,9.058,2,55,76,6.076,7.342,8.316,5,99,85,5f33e5bdea0471231d3fa54b,5f33e5bdea0471231d3fa54b,611666eb61bb33529fc1877d,fact,sa
2021-08-15 13:49:27,2021-08-15 13:52:41,0,81.109.137.188,100,193,1,2021-08-15 13:52:41,R_3PppMDo4aF3AMlX,,,,,51.600006103515625,-0.216705322265625,anonymous,EN-GB,1,,,,,12,,,94,2.736,45.149,46.648,30,"While it may be emotionally beneficial for people with disabilities to receive that sort of assistance, I personally believe that assistance is completely immoral, and would do more harm than good. ",5.068,10.83,11.067,5,56,15,1.1,4.915,5.263,9,73,91,2.883,7.496,7.915,8,9,96,2.934,4.093,4.307,4,92,100,1.163,9.577,10.063,8,20,89,0.879,2.245,2.65,3,100,100,1.216,5.066,5.404,3,100,100,0.943,4.568,4.781,4,49,51,1.273,2.51,3.048,3,100,100,2.856,8.569,8.767,4,68,95,2.329,3.501,4.176,4,100,95,2.394,4.609,6.027,7,0,100,2.104,4.42,4.724,7,100,100,3.425,5.566,5.925,3,100,100,5ae7b0dddf81330001cc8fd3,5ae7b0dddf81330001cc8fd3,611666eb61bb33529fc1877d,fact,sa
2021-08-15 13:48:02,2021-08-15 13:52:42,0,90.240.6.66,100,280,1,2021-08-15 13:52:42,R_3n6NDIcYRmg5d4L,,,,,51.7180023193359375,-0.84649658203125,anonymous,EN-GB,1,,,,,75,,,91,3.002,103.933,104.189,25,I read somewhere that in japan this is already a thing where people with disabiltiy get sexual relief which helps them. I do think this is a good idea to help them out,5.189,6.488,7.25,2,76,83,3.298,6.539,7.082,6,30,100,3.153,7.004,7.745,4,0,73,0.992,2.854,3.444,4,0,82,1.637,7.81,8.543,13,79,95,1.124,3.922,4.229,6,96,100,5.472,7.179,7.741,6,100,100,6.369,9.093,9.76,5,73,81,2.608,7.351,7.864,8,28,88,1.344,6.505,7.076,3,41,73,3.25,5.113,5.37,4,26,92,5.063,11.524,12.149,10,56,91,4.27,5.192,5.765,2,28,84,1.421,5.679,6.365,6,83,90,5d30ec10a5c3c900194c5d12,5d30ec10a5c3c900194c5d12,611666eb61bb33529fc1877d,fact,sa
2021-08-15 13:48:00,2021-08-15 13:52:45,0,82.28.218.44,100,285,1,2021-08-15 13:52:46,R_DuYGucDCE0tLtjb,,,,,51.58880615234375,-0.0247039794921875,anonymous,EN-GB,1,,33,,,,,,75,21.515,45.613,46.513,3,"The surrogate mother has joined an agreement with the people she will give the baby, so unlikely to be exploited for the fact of consent to the surrogacy",4.301,7.13,7.917,2,99,68,6.572,8.533,9.713,2,29,83,6.188,8.644,9.73,2,17,85,4.208,5.522,6.202,2,23,70,5.624,8.032,9.367,2,69,38,7.717,8.744,9.515,2,18,75,7.257,9.718,11.186,2,51,67,4.847,15.1,15.111,9,94,96,4.673,7.156,8.346,2,51,51,7.59,10.296,11.001,3,0,97,5.117,6.475,7.4,2,80,66,10.231,14.913,15.009,4,51,23,4.956,6.963,9.432,3,19,69,0.114,13.403,14.291,4,33,52,610124b706b8e4bb588f7df1,610124b706b8e4bb588f7df1,611666eb61bb33529fc1877d,fact,su
2021-08-15 13:47:42,2021-08-15 13:52:50,0,109.154.62.62,100,308,1,2021-08-15 13:52:51,R_032bdzS8Jp6zvTX,,,,,51.13330078125,0.88330078125,anonymous,EN-GB,1,,,,,,83,,100,4.633,26.334,93.26,3,"For medical advancements to be made and for the greater good for humans, we need to think about testing on animals as it would be useful to see the effects and the results that could mirror the effects on humans.",7.735,10.372,11.322,2,74,70,8.185,9.674,10.652,2,41,65,4.501,6.008,6.828,2,50,100,3.842,5.789,7.023,2,42,45,9.074,10.765,11.718,2,57,37,2.208,4.563,5.285,2,100,100,4.456,7.833,8.923,3,73,100,3.082,5.53,6.495,2,68,64,2.386,4.943,5.821,3,100,68,4.482,5.94,6.747,2,100,100,3.031,4.479,5.244,2,66,70,7.749,13.065,14.532,3,53,15,3.279,5.541,6.323,3,66,69,5.811,10.891,12.079,3,74,100,60367e3652cca042b58d6e19,60367e3652cca042b58d6e19,611666eb61bb33529fc1877d,fact,br
2021-08-15 13:48:02,2021-08-15 13:52:55,0,5.69.121.65,100,293,1,2021-08-15 13:52:55,R_3DHlZRTPHcJ9WpP,,,,,55.87420654296875,-3.9290924072265625,anonymous,EN-GB,1,,,32,,,,,33,25.03,29.908,49.68,2,I am someone who has been fortunate enough not to need medication and has never heard of any friends or family suffering from any side effects from any type of medication.,7.947,9.465,10.594,2,72,35,5.232,6.808,7.91,2,70,70,4.378,7.495,8.351,3,31,71,5.05,8.233,9.991,2,67,32,4.304,6.1,6.938,2,70,70,4.203,5.938,7.477,2,33,68,6.309,9.086,9.925,4,74,74,7.25,12.319,13.181,3,69,65,4.936,12.047,15.118,3,44,38,6.398,9.66,10.477,2,31,71,0,0,0,0,,,6.329,8.088,8.9,2,68,67,4.944,6.512,7.294,2,29,69,12.106,13.898,14.691,2,39,38,60fd3ab1157a5701a2cc3468,60fd3ab1157a5701a2cc3468,611666eb61bb33529fc1877d,fact,va
2021-08-15 13:48:29,2021-08-15 13:53:31,0,88.104.177.51,100,302,1,2021-08-15 13:53:31,R_yxXtdNbVNUQ25CV,,,,,53.4662933349609375,-2.1342010498046875,anonymous,EN-GB,1,,,,,,,100,69,38.046,46.265,47.754,4,I think a young person is not mature enough until the age of 20 to make such an important  life changing decision.,7.033,10.803,11.801,3,73,0,6.603,10.644,12.145,3,,65,4.762,12.329,13.679,7,36,14,4.33,7.83,15.152,2,,,7.925,12.672,15.021,3,60,7,4.056,10.653,11.973,5,31,68,4.795,7.496,8.67,3,100,100,5.729,10.586,11.921,4,100,100,6.583,13.665,14.115,5,17,18,0.023,3.474,4.688,3,51,34,5.77,10.032,11.278,4,70,70,8.361,11.679,12.953,3,67,29,3.754,7.002,8.379,3,33,99,8.976,13.347,14.872,3,67,33,5d55a0f63af827001981b8d6,5d55a0f63af827001981b8d6,611666eb61bb33529fc1877d,fact,pb
