StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,competence,ab_1,ab_c_1,su_1,su_c_1,va_1,va_c_1,gm_1,gm_c_1,sa_1,sa_c_1,br_1,br_c_1,pb_1,pb_c_1,Q30,gender,age,politics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a scholar (PhD student, postdoc, professor) affiliated with an academic institution and conducting research in areas related to bioethics broadly construed?",Which of the following areas are covered by your areas of competence (in the sense of you being able to teach them at the undergraduate level)?,At what stage of human pregnancy is the fetus capable of experiencing pain?,Please indicate how confident you are in the answer you provided above.,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Please indicate how confident you are in the answer you provided above.,How frequent and severe are the side-effects caused by modern vaccines?,Please indicate how confident you are in the answer you provided above.,Are genetically modified crops fit or unfit for human consumption?,Please indicate how confident you are in the answer you provided above.,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Is animal testing necessary to guarantee the safety of biomedical developments?,Please indicate how confident you are in the answer you provided above.,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,"Is there anything you would like to tell us? If so, use the space provided immediately below.",What is your gender?,How old are you? (Please type in your age in years - just a number),How would you describe your political attitudes when it comes to social issues?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}"
2021-07-12 14:53:57,2021-07-12 14:56:59,0,83.28.233.215,100,182,1,2021-07-12 14:56:59,R_yln3OFJCmPel2Fz,,,,,50.0565032958984375,19.98150634765625,anonymous,EN,4,"1,4,6,7",28,70,96,94,33,100,100,93,70,34,100,100,100,70,,1,49,2
2021-07-12 15:42:23,2021-07-12 15:45:26,0,195.235.104.226,100,182,1,2021-07-12 15:45:26,R_1LhhDFcHIYuzDVy,,,,,36.7689056396484375,-2.61529541015625,anonymous,EN,4,6,32,31,67,68,0,86,85,67,60,37,14,69,60,86,,1,38,2
2021-07-12 17:09:31,2021-07-12 17:15:17,0,76.211.115.84,100,345,1,2021-07-12 17:15:18,R_2Sk2jE1A7AGnWu0,,,,,35.7633056640625,-78.70999908447265625,anonymous,EN,4,"1,3,7",72,73,63,0,26,65,100,100,74,35,24,69,63,10,,1,67,1
2021-07-12 18:03:41,2021-07-12 18:05:48,0,24.246.3.204,100,126,1,2021-07-12 18:05:48,R_1FJStAvNx4lrdqs,,,,,45.3972930908203125,-75.68830108642578125,anonymous,EN,4,"4,6",20,0,39,86,25,100,92,82,100,100,41,58,100,96,,1,54,2
2021-07-13 07:39:21,2021-07-13 07:46:50,0,2.138.46.122,100,449,1,2021-07-13 07:46:51,R_vZHYDc70oGHT2I9,,,,,37.191802978515625,-3.6094970703125,anonymous,EN,4,"1,2,3,4,5,6,7",69,68,69,30,1,68,68,69,67,68,33,33,98,67,,1,58,2
2021-07-13 10:02:55,2021-07-13 10:06:29,0,86.135.50.88,100,213,1,2021-07-13 10:06:29,R_xh0TdwWYNb5inip,,,,,51.08880615234375,-3.2928009033203125,anonymous,EN,4,"1,4,6",22,57,91,92,67,68,31,35,17,71,63,65,69,70,,2,74,2
2021-07-13 10:57:28,2021-07-13 11:00:34,0,213.194.179.221,100,185,1,2021-07-13 11:00:34,R_2WUoHGcLLFY85dn,,,,,37.191802978515625,-3.6094970703125,anonymous,EN,4,"3,7",38,100,41,45,0,33,100,100,100,35,0,100,43,38,,2,43,2
2021-07-13 13:25:44,2021-07-13 13:33:11,0,95.127.150.227,100,447,1,2021-07-13 13:33:12,R_eF0DpwG2M4dPV7z,,,,,40.4163055419921875,-3.6934051513671875,anonymous,EN,4,"1,2,4,5,6",32,86,68,31,19,68,68,67,51,32,51,32,71,70,Looking forward to knowing the results of your research! :-),2,44,1
